Array Size,Thurst time (s),Radix time (s)
512,0.0144,6.75533
1024,0.0092,5.04218
2048,0.0495,6.86387
4096,0.0548,5.39443
8192,0.0745,6.67034
16384,0.2373,7.77114
32768,0.6106,6.88947
65536,0.5757,7.74451
131072,1.3012,9.28256
262144,2.4588,21.1108
524288,5.4724,23.851
1048576,11.9116,32.5499
2097152,47.2582,50.5672
4194304,90.176,80.9073
8388608,186.772,151.69
16777216,355.382,290.615
33554432,721.926,572.833
67108864,1437.05,1140.19
134217728,2865.67,2258.29
16,0.003,7.30726
32,0.0294,4.97254
64,0.0046,4.86093
128,0.02,5.79174
256,0.0306,6.08461
512,0.009,6.03034
1024,0.0093,9.44128
2048,0.0239,6.92122
4096,0.0571,6.78502
8192,0.0872,7.97696
16384,0.2223,6.85875
32768,0.3795,8.4992
65536,0.598,8.92826
131072,1.2917,8.96922
262144,3.3023,16.3052
524288,5.1649,23.5336
1048576,10.8897,32.1004
2097152,49.4216,49.6855
4194304,96.0327,84.1503
8388608,185.029,151.11
16777216,361.057,293.544
33554432,721.187,572.757
67108864,1426.31,1136.86
134217728,2873.55,2267.15
16,0.0044,4.98381
32,0.0045,4.85376
64,0.005,4.67456
128,0.0063,7.07584
256,0.0193,4.90803
512,0.0147,6.6263
1024,0.0095,6.53312
2048,0.1077,6.5321
4096,0.1432,7.07174
8192,0.0905,5.01965
16384,0.1661,8.18176
32768,0.3031,7.83667
65536,0.5789,7.7353
131072,1.2617,10.0342
262144,3.2751,18.8303
524288,5.6768,22.3386
1048576,11.7154,31.2771
2097152,45.2314,49.6036
4194304,93.2075,83.7294
8388608,184.573,152.856
16777216,361.703,291.995
33554432,721.078,579.41
67108864,1438.16,1129.67
134217728,2926.33,2277.86
16,0.0046,8.26061
32,0.0073,7.48134
64,0.008,6.01088
128,0.0089,4.99814
256,0.0412,5.97197
512,0.0272,5.12205
1024,0.0156,5.9648
2048,0.0496,5.8624
4096,0.0443,7.12704
8192,0.0791,5.79584
16384,0.2927,5.93606
32768,0.2809,6.95706
65536,0.7302,6.64474
131072,1.4279,8.72858
262144,3.4255,17.282
524288,7.4474,22.5874
1048576,12.1369,33.1254
2097152,47.3726,49.6486
4194304,109.629,82.5119
8388608,182.913,151.734
16777216,367.447,295.345
33554432,733.049,578.333
67108864,1446.95,1139.79
134217728,2909.96,2275.11
16,0.0026,6.61811
32,0.0028,6.58637
64,0.0054,6.71027
128,0.0067,5.75795
256,0.0251,6.75533
512,0.0063,7.18746
1024,0.0282,5.89107
2048,0.0237,6.71744
4096,0.0443,6.62118
8192,0.1237,6.57306
16384,0.1512,6.85056
32768,0.2808,5.32378
65536,0.5723,9.13101
131072,1.5044,9.65837
262144,2.5849,19.7857
524288,5.8442,24.8279
1048576,11.5651,32.4731
2097152,47.1037,49.9988
4194304,98.4073,82.4422
8388608,184.959,153.206
16777216,358.256,293.053
33554432,727.857,576.947
67108864,1467.26,1144.56
134217728,2864.18,2273.02
16,0.0027,6.88947
32,0.0029,6.74509
64,0.0029,6.74202
128,0.0105,6.66726
256,0.0568,6.30682
512,0.0058,5.50605
1024,0.0224,4.90701
2048,0.0227,5.1497
4096,0.0799,6.67443
8192,0.1496,6.90688
16384,0.1983,6.59456
32768,0.305,7.91654
65536,0.5687,8.91187
131072,1.271,9.61024
262144,2.4551,21.6248
524288,5.1299,24.5453
1048576,11.5062,33.1868
2097152,48.0402,50.6563
4194304,90.3235,83.2317
8388608,184.874,151.876
16777216,359.436,292.489
33554432,717.115,580.022
67108864,1429.22,1138.5
134217728,2858.64,2255.35
16,0.0027,6.92122
32,0.0205,9.71571
64,0.0078,5.57773
128,0.0062,8.12749
256,0.0252,7.9319
512,0.0091,7.20486
1024,0.0286,6.81574
2048,0.0236,7.13114
4096,0.0483,7.8633
8192,0.1135,7.36051
16384,0.2029,7.50899
32768,0.2804,7.0359
65536,0.9921,8.38246
131072,1.2554,9.57542
262144,2.4996,18.3194
524288,5.5279,23.9401
1048576,10.3012,34.6419
2097152,45.7887,48.9636
4194304,91.9197,82.7802
8388608,185.252,153.482
16777216,367.349,294.307
33554432,723.863,571.087
67108864,1430.71,1141.4
134217728,2875.4,2285.53
16,0.0027,6.79936
32,0.0043,8.90163
64,0.0051,7.05434
128,0.0238,5.15174
256,0.0201,8.18074
512,0.0091,7.70867
1024,0.0215,7.1895
2048,0.0237,7.13216
4096,0.044,7.4711
8192,0.1031,7.70662
16384,0.2492,7.13933
32768,0.2799,5.58694
65536,0.5849,7.73222
131072,1.301,10.112
262144,2.7737,19.9516
524288,5.5261,24.3794
1048576,10.5962,31.6416
2097152,47.603,50.0644
4194304,92.1483,83.1908
8388608,184.543,150.423
16777216,361.974,294.485
33554432,728.247,567.91
67108864,1433.82,1141.74
134217728,2871.18,2259.21
16,0.0043,4.70835
32,0.0206,4.2711
64,0.0206,6.28019
128,0.0063,5.49171
256,0.0308,5.32992
512,0.0138,5.34426
1024,0.0414,6.54746
2048,0.0222,6.44915
4096,0.0448,8.05171
8192,0.0769,5.05037
16384,0.179,6.80243
32768,0.3232,7.68102
65536,0.5624,6.71334
131072,1.2853,7.90733
262144,2.5167,17.2268
524288,5.2197,23.3574
1048576,11.4488,31.0804
2097152,44.8867,46.89
4194304,95.5519,82.561
8388608,182.93,151.356
16777216,359.07,292.959
33554432,719.648,576.593
67108864,1427.25,1131.95
134217728,2852.85,2255.25
16,0.0027,6.49622
32,0.0044,6.6007
64,0.0047,5.24186
128,0.0231,7.02464
256,0.0249,6.42253
512,0.0092,6.55053
1024,0.009,7.3943
2048,0.0498,6.52493
4096,0.0447,7.4199
8192,0.078,8.95181
16384,0.184,5.49786
32768,0.4797,8.12851
65536,0.6193,8.30771
131072,1.7358,9.43002
262144,2.4491,17.9333
524288,5.1549,23.7281
1048576,13.9813,31.1296
2097152,45.4197,50.175
4194304,90.4189,83.9352
8388608,182.515,152.039
16777216,360.341,293.201
33554432,705.592,575.007
67108864,1443.76,1140.17
134217728,2867.01,2254.17
16,0.0028,5.96275
32,0.0044,5.50707
64,0.0052,5.42515
128,0.0066,4.90906
256,0.0239,4.91213
512,0.0093,4.86707
1024,0.0097,4.61107
2048,0.0339,4.6807
4096,0.114,6.87616
8192,0.0769,7.27757
