Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),
8388608,22.681,23.7434,114.549,111.721
16777216,43.268,44.7254,230.393,219.395
33554432,87.9966,88.9881,464.312,442.362
67108864,174.656,178.626,937.834,894.538
134217728,349.446,347.977,1888.38,1778.42
268435456,701.212,701.574,3732.64,3551.81
16,0.0001,0.0002,0.863232,0.89088
32,0.0004,0.0003,0.759808,0.859136
64,0.0003,0.0003,0.775168,1.6343
128,0.0009,0.0006,1.20525,0.77824
256,0.001,0.0011,0.74752,0.828416
512,0.0016,0.0018,0.75264,0.797696
1024,0.0053,0.003,0.806912,0.782336
2048,0.0058,0.0064,0.821248,0.791552
4096,0.0108,0.0116,0.910336,1.4592
8192,0.0491,0.0368,1.2544,0.917504
16384,0.0582,0.0668,1.22163,1.26771
32768,0.1048,0.1427,1.35578,1.35066
65536,0.1806,0.1862,1.8729,2.7863
131072,0.3404,0.4602,3.37408,3.46214
262144,0.6572,0.9069,5.99757,5.08723
524288,1.4068,1.5036,8.77978,9.25184
1048576,2.7312,3.0211,16.0328,15.6078
2097152,5.7274,5.708,30.0001,29.1041
4194304,11.681,11.0884,57.8755,56.5094
8388608,21.8862,21.9851,115.664,109.879
16777216,45.9282,44.78,235.238,223.123
33554432,89.777,88.4944,471.48,443.329
67108864,173.554,178.417,940.577,890.516
134217728,357.127,353.235,1887.46,1775
268435456,708.858,699.082,3745.91,3545.22
16,0.0001,0.0002,0.879616,1.15814
32,0.0003,0.0002,0.874496,1.08134
64,0.0004,0.0004,0.915456,0.98304
128,0.0009,0.0005,0.940032,1.06291
256,0.0016,0.001,1.29536,1.03322
512,0.0029,0.0017,0.717824,1.0281
1024,0.0056,0.0033,0.956416,0.979968
2048,0.0054,0.0058,0.878592,0.83456
4096,0.0323,0.0116,0.83968,0.812032
8192,0.023,0.0235,0.909312,1.21242
16384,0.0576,0.0476,1.33939,1.20525
32768,0.1062,0.1085,1.84525,1.49299
65536,0.2667,0.193,2.84672,2.2569
131072,0.3326,0.4806,3.00954,3.85126
262144,0.7568,0.9809,4.84659,5.65146
524288,1.4545,1.5667,8.79411,9.22112
1048576,2.6332,3.0039,15.8116,18.0613
2097152,5.4902,5.8083,29.5721,29.6479
4194304,10.6294,12.0485,58.8401,56.0824
8388608,22.0102,22.6701,117.98,112.771
16777216,44.4495,45.4474,233.474,220.941
33554432,86.3781,91.052,472.106,443.879
67108864,177.215,178.712,943.885,890.748
134217728,349.079,357.396,1873.24,1771.5
268435456,699.75,699.653,3765.76,3550.5
16,0.0001,0.0002,1.71725,1.03526
32,0.0004,0.0003,0.97792,0.995328
64,0.0003,0.0003,0.961536,0.9984
128,0.0009,0.0005,1.0199,0.999424
256,0.015,0.0011,1.14586,0.995328
512,0.0031,0.0018,0.821248,1.7961
1024,0.0055,0.0032,0.897024,0.985088
2048,0.0105,0.0063,1.68243,0.786432
4096,0.0114,0.012,0.841728,0.856064
8192,0.0241,0.0224,0.918528,1.90464
16384,0.1061,0.0465,1.06394,1.03629
32768,0.0864,0.1316,1.39981,1.52474
65536,0.1773,0.1983,1.71725,3.04538
131072,0.3309,0.3877,2.816,3.59219
262144,0.6512,0.838,5.25824,5.56442
524288,1.5917,1.6062,8.8535,9.61741
1048576,2.6515,3.1144,15.66,16.2048
2097152,5.5255,5.752,30.507,30.6412
4194304,10.8267,11.1527,60.0177,56.7572
8388608,21.2895,23.9699,115.378,108.573
16777216,42.5658,44.228,233.924,221.873
33554432,85.9002,91.6663,467.77,442.773
67108864,175.934,180.94,935.6,885.335
134217728,350.842,350.328,1880.27,1773.39
268435456,700.219,707.733,3738.12,3537.39
16,0.0001,0.0001,0.780288,0.92672
32,0.0004,0.0003,0.848896,1.03731
64,0.0004,0.0005,0.867328,1.0711
128,0.0008,0.0006,0.841728,1.08336
256,0.0015,0.0011,0.9216,0.892928
512,0.0027,0.0017,0.83968,0.799744
1024,0.0027,0.0029,0.863232,0.782336
2048,0.0053,0.0059,0.802816,1.07622
4096,0.0176,0.0113,0.862208,0.903168
8192,0.0227,0.0247,0.999424,1.42541
16384,0.0541,0.0543,1.36704,0.979968
32768,0.0888,0.0955,1.48275,1.17248
65536,0.1774,0.2013,1.77971,2.27328
131072,0.3723,0.4526,2.93171,3.23686
262144,0.7107,0.8644,5.40672,5.70061
524288,1.3257,1.5878,8.50842,9.85088
1048576,2.7259,3.0084,16.214,16.7854
2097152,5.6431,5.9891,29.8435,29.2833
4194304,11.4821,11.2654,57.5447,56.0701
8388608,21.9066,22.1302,114.819,109.234
16777216,46.0031,45.8212,230.082,224.474
33554432,86.3793,88.3417,464.001,443.171
67108864,175.863,175.316,935.969,885.889
134217728,349.328,355.763,1861.6,1776.34
268435456,698.485,723.299,3748.18,3534.34
16,0.0001,0.0002,0.995328,1.12845
32,0.0004,0.0005,1.04346,1.14176
64,0.0003,0.0003,1.06291,0.917504
128,0.0008,0.0005,0.937984,0.95744
256,0.0015,0.001,0.8448,0.940032
512,0.0015,0.0019,0.87552,1.14995
1024,0.0038,0.0033,1.0025,0.9728
2048,0.0057,0.0068,1.20525,1.0967
4096,0.0226,0.0147,1.02502,1.10182
8192,0.0207,0.0227,1.11002,1.07315
16384,0.0418,0.0459,1.31683,1.11309
32768,0.0828,0.1201,1.44282,1.31072
65536,0.1654,0.1966,1.82886,2.4791
131072,0.6594,0.444,2.8631,3.34438
262144,0.6902,0.8497,5.35757,5.71904
524288,1.3687,1.8199,8.87091,10.1192
1048576,2.6149,2.9054,16.1352,17.4264
2097152,5.7958,5.8577,29.8476,29.952
4194304,10.6025,11.323,58.3987,56.4142
8388608,22.2906,22.1448,116.408,111.184
16777216,44.6106,45.7832,234.467,222.254
33554432,85.691,90.6043,472.663,443.675
67108864,175.022,179.238,934.736,883.703
134217728,355.194,350.342,1886.05,1778.19
268435456,704.34,710.16,3736.23,3541.67
16,0.0001,0.0002,1.08544,0.989184
32,0.0003,0.0002,0.864256,1.06598
64,0.0005,0.0004,1.18682,0.987136
128,0.0009,0.0005,0.894976,1.08851
256,0.0014,0.0009,0.873472,1.05165
512,0.0025,0.0015,0.955392,1.33837
1024,0.0029,0.0032,0.758784,0.77824
2048,0.0051,0.0062,1.28922,0.791552
4096,0.0336,0.0118,0.969728,0.917504
8192,0.0202,0.0234,1.03629,0.90624
16384,0.0431,0.0545,1.07725,1.0496
32768,0.0872,0.1298,1.35782,1.63635
65536,0.168,0.187,1.93331,2.97267
131072,0.3426,0.4208,3.43142,3.83795
262144,0.6722,0.7483,5.37293,5.56442
524288,1.6511,1.5977,9.50067,9.06957
1048576,2.8469,3.0086,15.7286,16.343
2097152,5.4252,5.7725,30.6135,30.166
4194304,10.6545,13.4253,58.7438,55.9708
8388608,21.1074,23.4173,115.446,109.77
16777216,45.2375,44.9282,234.486,220.928
33554432,86.0075,91.5471,470.607,443.872
67108864,172.536,175.673,943.738,886.741
134217728,352.014,352.734,1874.18,1769.98
268435456,697.052,703.575,3762.46,3544.94
16,0.0002,0.0002,0.718848,0.959488
32,0.0005,0.0003,0.740352,0.83456
64,0.0003,0.0004,0.745472,1.03117
128,0.0005,0.0006,0.774144,0.828416
256,0.0008,0.0009,0.78848,1.4551
512,0.0014,0.0016,0.746496,0.772096
1024,0.0048,0.0029,0.941056,1.22163
2048,0.0073,0.0058,0.848896,0.787456
4096,0.0107,0.0129,1.21446,0.821248
8192,0.0348,0.042,1.01069,1.29434
16384,0.0431,0.0625,1.42438,1.25338
32768,0.1321,0.0971,1.52269,1.59642
65536,0.1741,0.2429,1.96301,3.43859
131072,0.344,0.3626,3.28294,3.71917
262144,0.6909,0.8894,5.24698,6.3785
524288,1.3915,1.4458,8.47155,9.23546
1048576,2.9876,2.9906,16.7578,17.0168
2097152,5.2655,5.8632,30.3073,29.5772
4194304,10.9058,12.4781,58.0925,56.3384
8388608,21.4742,23.454,117.803,112.171
16777216,48.1003,43.6482,232.125,221.673
33554432,85.7283,92.4688,469.018,444.875
67108864,174.281,177.671,930.703,884.904
134217728,353.5,354.069,1878.57,1773.36
268435456,704.112,696.738,3745.27,3540.36
16,0.0001,0.0002,0.946176,0.871424
32,0.0004,0.0002,0.804864,1.03117
64,0.0006,0.0004,0.886784,1.05882
128,0.0009,0.0007,0.897024,1.00762
256,0.001,0.0009,1.68346,1.31174
512,0.0019,0.0019,1.06291,0.949248
1024,0.0031,0.0034,1.18272,1.01581
2048,0.0065,0.0067,0.887808,0.807936
4096,0.0109,0.0325,0.917504,1.04243
8192,0.0221,0.0252,0.91136,1.01683
16384,0.0432,0.0451,1.06701,1.59744
32768,0.0848,0.1094,1.39571,1.17658
65536,0.1788,0.1973,1.82272,2.47091
131072,0.4989,0.4048,2.7392,3.64134
262144,0.7757,0.8794,5.0432,6.01088
524288,1.4458,1.6905,8.58522,9.47302
1048576,2.6784,3.0138,17.5104,16.4209
2097152,5.2871,5.9683,31.0999,29.356
4194304,11.2392,11.5458,58.709,55.5479
8388608,20.8303,23.2905,113.335,110.284
16777216,44.2938,44.275,230.502,220.902
33554432,85.4026,91.0899,464.887,443.606
67108864,174.064,179.702,936.96,887.082
134217728,352.474,352.733,1867.75,1774.75
268435456,704.818,701.803,3727.99,3542.85
16,0.0002,0.0002,0.720896,0.95232
32,0.0005,0.0003,0.749568,0.837632
64,0.0003,0.0005,0.740352,0.86528
128,0.0008,0.0006,0.7168,0.758784
256,0.0014,0.001,0.81408,1.19296
512,0.002,0.0016,0.744448,0.787456
1024,0.0028,0.0032,0.828416,2.09306
2048,0.0071,0.0063,1.26976,0.794624
4096,0.0111,0.0128,0.960512,0.878592
8192,0.0215,0.0288,1.21034,0.85504
16384,0.0448,0.0464,1.47558,0.990208
32768,0.088,0.0954,1.33325,1.88109
65536,0.172,0.1998,1.76435,2.45453
131072,0.3423,0.3886,2.83955,3.67206
262144,0.6999,0.9152,5.87469,5.53165
524288,1.2939,1.6402,9.10746,9.1136
1048576,2.6937,2.9492,16.2263,16.8428
2097152,5.4599,6.0133,30.6493,29.694
4194304,10.6196,11.6692,57.1023,56.2596
8388608,21.3847,24.0232,116.488,108.94
16777216,46.8651,44.8382,236.217,221.092
