Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),
16777216,42.7144,48.4382,234.093,221.272
33554432,89.4402,88.8967,472.12,442.662
67108864,176.158,176.185,943.031,888.302
134217728,354.913,388.454,1879.62,1770.63
268435456,738.871,757.256,3842.28,3580.33
16,0.0002,0.0002,0.878592,0.958464
32,0.0004,0.0003,0.867328,0.940032
64,0.0003,0.0004,2.50982,1.07315
128,0.0005,0.0005,1.12538,1.32813
256,0.0013,0.001,0.965632,0.93696
512,0.0014,0.0019,0.843776,0.969728
1024,0.0049,0.0031,0.907264,1.14586
2048,0.0088,0.0063,0.968704,1.02707
4096,0.011,0.0119,1.09261,1.00557
8192,0.0215,0.0229,1.03424,1.26771
16384,0.0419,0.0504,1.23494,1.37421
32768,0.0831,0.1226,1.37216,1.82067
65536,0.1704,0.1872,1.84115,2.49344
131072,0.336,0.4906,3.01056,3.47853
262144,0.7254,0.9895,4.79539,5.60742
524288,1.3597,1.6569,8.79923,9.16378
1048576,2.6776,3.05,15.615,15.9672
2097152,5.6688,5.7314,30.3657,28.6628
4194304,12.0131,11.7786,57.2559,55.4537
8388608,24.9333,22.8523,114.769,108.86
16777216,44.5357,47.7788,240.661,218.855
33554432,86.2637,88.2306,468.855,447.44
67108864,188.836,182.878,979.09,897.894
134217728,354.732,372.503,1901.86,1787.89
268435456,713.443,739.312,3789.33,3548.12
16,0.0001,0.0002,0.616448,1.09158
32,0.0002,0.0002,0.923648,1.08134
64,0.0003,0.0003,0.912384,1.04653
128,0.0008,0.0008,0.857088,1.0793
256,0.0014,0.001,0.790528,0.996352
512,0.0018,0.0017,0.920576,0.976896
1024,0.0043,0.0055,0.769024,1.09056
2048,0.0054,0.0194,1.00557,1.03526
4096,0.0108,0.0118,1.04141,1.08544
8192,0.0348,0.0222,1.10694,1.27898
16384,0.0449,0.0463,1.3824,1.20627
32768,0.1067,0.0904,1.55238,1.99475
65536,0.177,0.2041,1.78278,2.81907
131072,0.3321,0.5211,2.87232,3.38944
262144,0.6703,0.8383,5.0944,5.67808
524288,1.369,1.5587,8.73882,8.97741
1048576,3.1287,2.7631,15.4204,15.8607
2097152,5.4641,5.7251,30.081,29.2526
4194304,11.2403,11.6317,57.3624,54.8178
8388608,24.0695,23.5972,115.765,111.6
16777216,42.2762,48.2251,236.693,220.163
33554432,89.4538,90.333,463.302,443.183
67108864,175.145,179.769,950.186,899.156
134217728,358.332,356.16,1905.87,1779.27
268435456,721.248,743.58,3758.53,3575.08
16,0.0002,0.0002,0.89088,1.16429
32,0.0004,0.0001,0.792576,1.04653
64,0.0138,0.0003,0.816128,0.76288
128,0.0005,0.0006,0.9216,0.992256
256,0.0009,0.0009,1.04038,0.995328
512,0.0017,0.0018,1.09158,1.03014
1024,0.0048,0.0031,0.893952,0.941056
2048,0.0116,0.0064,0.934912,1.33837
4096,0.0466,0.0124,1.08954,1.27386
8192,0.0589,0.0376,1.15405,1.0537
16384,0.0686,0.0564,1.30662,1.34963
32768,0.1115,0.0931,1.72339,1.66605
65536,0.2136,0.2014,1.99885,2.54874
131072,0.3396,0.4681,3.01773,3.69971
262144,0.7524,0.7204,5.37702,5.05958
524288,1.4298,1.541,8.48486,9.25491
1048576,2.8104,2.8757,15.6621,15.9222
2097152,5.5336,5.7412,29.2219,30.3012
4194304,10.9352,12.1295,57.5222,56.0691
8388608,22.324,24.9028,118.136,109.264
16777216,45.1294,47.4251,235.965,220.261
33554432,88.3907,94.569,471.673,442.528
67108864,192.903,188.105,943.337,909.787
134217728,375.494,364.91,1883.59,1776.7
268435456,716.414,735.546,3747.06,3584.81
16,0.0001,0.0002,0.818176,1.14995
32,0.0003,0.0003,0.857088,1.06496
64,0.0006,0.0003,0.995328,0.80896
128,0.0009,0.0005,0.712704,0.836608
256,0.0009,0.0014,0.722944,0.753664
512,0.0019,0.0017,0.802816,0.838656
1024,0.0186,0.0031,0.86528,0.996352
2048,0.0059,0.0064,0.989184,1.52371
4096,0.0145,0.0155,1.18579,1.34963
8192,0.0236,0.0232,1.08339,0.859136
16384,0.0568,0.0469,1.14074,0.984064
32768,0.1103,0.0936,1.29126,1.45715
65536,0.169,0.2505,1.84627,2.88973
131072,0.3793,0.5221,2.74637,3.42528
262144,0.7077,0.7985,5.22752,5.96992
524288,1.3595,1.485,8.78592,9.54982
1048576,3.4014,2.8998,15.8167,16.4475
2097152,5.4595,6.0612,29.951,29.4717
4194304,11.9487,11.3729,60.0248,56.9436
8388608,22.1231,23.2813,115.09,114.194
16777216,52.4248,45.3878,239.436,228.138
33554432,89.3893,88.7686,471.351,457.313
67108864,182.812,190.56,953.21,892.004
134217728,360.407,353.309,1871.36,1772.29
268435456,701.212,701.868,3750.34,3547.74
16,0.0001,0.0002,0.720896,0.846848
32,0.0002,0.0002,0.687104,1.31994
64,0.0003,0.0003,0.642048,0.864256
128,0.0009,0.0007,1.03834,0.794624
256,0.0017,0.0017,1.00966,0.809984
512,0.0028,0.0017,0.771072,1.32403
1024,0.0051,0.0033,0.973824,0.769024
2048,0.0105,0.0064,1.20013,0.812032
4096,0.0203,0.0259,1.09773,1.24109
8192,0.0218,0.0277,1.13971,0.894976
16384,0.0919,0.0475,1.07622,1.04653
32768,0.1489,0.113,1.29229,1.47661
65536,0.1712,0.2301,1.73466,2.80883
131072,0.3572,0.3741,2.8375,4.29568
262144,0.6953,0.94,5.0903,6.272
524288,1.3033,1.6636,8.94566,10.0168
1048576,2.6615,3.1441,16.172,16.0451
2097152,5.3257,5.8067,31.234,30.1353
4194304,10.3885,13.1513,58.7244,56.3589
8388608,23.4203,24.7768,117.098,110.33
16777216,42.986,48.0559,234.404,220.712
