Array Size,CPU (s),Na‹ve(s),Efficient (s),Shared Memory (s),Thrust (s)
8388605,35.9609,62.338,6.67443,1.49274,0.839168
16777213,72.0274,125.271,15.1423,2.82624,1.1159
33554429,146.136,254.702,21.139,5.91098,1.93398
67108861,295.565,512.52,66.0659,12.2854,3.24608
13,0,0.18944,0.098304,0.16384,0.152576
29,0.0001,0.453632,0.126976,0.185344,0.16384
61,0.0001,0.234496,0.13312,0.203776,0.132096
125,0.0002,0.187392,0.152576,0.186368,0.155648
253,0.0004,0.192512,0.17408,0.183296,0.15872
509,0.0005,0.249856,0.197632,0.191488,0.154624
1021,0.001,0.206848,0.232448,0.202752,0.44544
2045,0.0019,0.22528,0.357376,0.19968,0.14848
4093,0.0041,0.236544,0.231424,0.191488,0.146432
8189,0.0036,0.380928,0.390144,0.210944,0.19968
16381,0.0101,0.403456,0.289792,0.186368,0.141312
32765,0.0184,0.41984,0.55808,0.185344,0.165888
65533,0.0406,0.668672,0.323584,0.199104,0.16384
131069,0.5999,1.536,0.370688,0.371712,0.412352
262141,1.1704,2.58662,0.425984,0.22016,0.654336
524285,2.344,3.85814,0.690176,0.287744,0.49696
1048573,4.4391,7.56669,1.17453,0.657408,0.490816
2097149,9.185,15.5494,2.40589,0.536,0.553728
4194301,18.0633,30.6606,3.31571,0.836544,0.67584
8388605,39.46,62.5036,6.65805,1.52973,0.762752
16777213,72.8385,125.441,12.0996,2.83398,1.26845
33554429,144.21,254.222,29.4854,5.7169,1.92138
67108861,291.162,514.954,53.144,10.6833,3.36794
13,0.0001,0.13824,0.10752,0.18944,0.149504
29,0.0001,0.211968,0.11264,0.180224,0.18432
61,0.0002,0.292864,0.146432,0.188416,0.136192
125,0.0003,0.169984,0.162816,0.198656,0.154624
253,0.0004,0.187392,0.177152,0.187392,0.149504
509,0.0007,0.19968,0.193536,0.145408,0.11776
1021,0.0012,0.232448,0.2048,0.147456,0.114688
2045,0.0018,0.22528,0.206848,0.156672,0.100352
4093,0.002,0.23552,0.231424,0.162816,0.10752
8189,0.0042,0.283648,0.292864,0.156672,0.226304
16381,0.0347,0.328704,0.29184,0.20064,0.119744
32765,0.0308,0.422912,0.304128,0.1536,0.151392
65533,0.0415,0.664576,0.311296,0.14848,0.169984
131069,0.6025,1.59539,0.352256,0.152576,0.336896
262141,1.1715,2.9952,0.449536,0.214016,0.431104
524285,2.3575,4.13782,0.738304,0.272832,0.413696
1048573,4.4384,7.92368,1.28342,0.379904,0.517728
2097149,10.0563,16.1925,1.99053,0.570368,0.493152
4194301,18.5013,31.9905,4.14966,1.18739,0.636448
8388605,36.5267,62.4568,6.61914,1.53946,0.970752
16777213,73.8542,123.607,14.9719,2.81443,1.18547
33554429,147.252,257.921,21.2178,5.46365,1.89837
67108861,290.144,511.514,66.0168,10.9066,3.38842
13,0.0001,0.177152,0.098304,0.19456,0.136192
29,0.0001,0.1792,0.118784,0.248832,0.14336
61,0.0002,0.221184,0.139264,0.18432,0.144384
125,0.0003,0.195584,0.16384,0.191488,0.166912
253,0.0003,0.228352,0.172032,0.17408,0.157696
509,0.0007,0.224256,0.19456,0.19968,0.144384
1021,0.0012,0.231424,0.20992,0.195584,0.130048
2045,0.0015,0.339968,0.2304,0.244736,0.149504
4093,0.0041,0.239616,0.226304,0.161792,0.151552
8189,0.0034,0.270336,0.372736,0.203776,0.131072
16381,0.009,0.356352,0.283552,0.185344,0.13824
32765,0.0198,0.405504,0.299008,0.203776,0.166912
65533,0.0415,0.62976,0.319488,0.149216,0.124928
131069,0.5861,1.0752,0.34912,0.187392,0.325984
262141,1.1718,2.03878,0.4096,0.218112,0.464896
524285,2.3548,3.83683,0.979968,0.38496,0.442144
1048573,4.441,7.56006,1.09261,0.364544,0.469536
2097149,9.8416,15.3057,2.50266,0.498688,0.556032
