Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
131069,0.3429,0.397,3.27885,3.82362
262141,0.6692,0.8569,5.25312,6.47578
524285,1.2932,1.7313,9.27334,9.1392
1048573,3.3073,3.0425,16.128,16.4639
2097149,5.5047,5.5051,30.1773,30.1527
4194301,10.8122,12.3038,59.1155,55.2059
8388605,21.8567,22.4953,115.091,110.546
16777213,44.9255,45.5346,231.092,221.213
33554429,87.0138,91.7983,464.675,441.612
67108861,178.035,182.133,936.077,884.788
134217725,349.266,352.024,1863.22,1770.81
268435453,698.171,700.823,3740.4,3560.7
13,0.0001,0.0002,0.723968,1.16634
29,0.0002,0.0003,0.7936,0.859136
61,0.0003,0.0003,0.7936,0.835584
125,0.0006,0.0005,0.775168,1.34861
253,0.0013,0.0009,1.37728,0.96768
509,0.0158,0.0016,0.891904,0.969728
1021,0.0029,0.003,0.919552,1.31174
2045,0.0097,0.0255,1.30458,1.03014
4093,0.011,0.0119,1.02195,1.07725
8189,0.0205,0.0237,0.914432,0.95232
16381,0.0644,0.0471,1.44998,1.17248
32765,0.0819,0.1311,1.51142,1.48173
65533,0.1702,0.2095,1.79302,2.58355
131069,0.3345,0.3767,3.63827,3.62598
262141,0.7114,0.8013,5.4313,5.84192
524285,1.355,1.5347,9.7321,9.50989
1048573,2.6188,3.1477,15.7768,15.829
2097149,5.4098,5.8368,31.2084,28.8655
4194301,11.274,12.7547,57.7055,57.4966
8388605,23.3016,21.9648,114.224,108.911
16777213,42.8513,46.7434,236.318,219.811
33554429,90.1879,89.1622,468.382,443.17
67108861,175.758,176.338,939.82,889.484
134217725,346.223,349.715,1888.54,1770.87
268435453,699.135,702.774,3740.61,3555.31
13,0.0001,0.0002,0.891904,1.17555
29,0.0003,0.0002,0.90624,0.907264
61,0.0004,0.0003,1.42029,0.892928
125,0.0005,0.0006,0.89088,0.915456
253,0.0017,0.001,0.833536,0.764928
509,0.0032,0.0018,0.83456,1.06701
1021,0.0029,0.0032,0.858112,0.919552
2045,0.0097,0.006,0.847872,1.04448
4093,0.0111,0.0123,1.56262,1.05677
8189,0.0341,0.0417,1.12435,0.987136
16381,0.0551,0.0443,1.74182,1.72339
32765,0.0842,0.1329,1.55034,1.46022
65533,0.1727,0.1869,2.2016,2.74125
131069,0.351,0.4444,2.86413,3.74682
262141,0.6894,0.854,5.05344,6.42662
524285,1.341,1.6689,8.5975,8.7255
1048573,2.9477,2.9637,16.0225,15.8484
2097149,5.5778,5.9219,30.1722,30.2971
4194301,10.8695,11.326,58.4315,56.6732
8388605,22.1274,22.5612,116.098,110.047
16777213,45.4298,45.2822,233.541,221.303
33554429,86.2632,88.3442,472.032,448.044
67108861,175.311,175.937,940.071,889.979
134217725,354.349,347.498,1878.22,1785.41
268435453,698.503,701.16,3766.6,3548.7
13,0.0001,0.0002,0.897024,0.963584
29,0.0002,0.0002,1.17043,1.00557
61,0.0003,0.0007,0.919552,0.979968
125,0.0004,0.0006,0.81408,0.909312
253,0.0014,0.001,1.28819,1.01069
509,0.0015,0.0016,0.92672,1.18682
1021,0.0027,0.0032,0.874496,1.28
2045,0.0078,0.0055,0.961536,1.12128
4093,0.0134,0.0247,1.03117,1.00045
8189,0.0204,0.0221,1.05574,1.46227
16381,0.0441,0.0831,1.09773,1.14483
32765,0.1487,0.1282,1.42234,1.30662
65533,0.1703,0.1857,1.81555,2.81805
131069,0.3376,0.4523,3.1703,3.8656
262141,0.7209,0.8847,5.33914,5.68934
524285,1.5434,1.5071,8.66509,10.1458
1048573,2.6496,3.1652,16.2918,16.4721
2097149,5.7502,5.7153,30.0534,29.0621
4194301,11.0278,11.8604,58.4847,56.7009
8388605,21.1974,24.1675,116.949,111.575
16777213,42.6648,45.2746,232.693,222.365
33554429,85.5403,93.0035,469.066,446.276
67108861,182.145,180.184,932.019,892.793
134217725,346.353,354.948,1887.12,1771.72
268435453,707.556,701.563,3749.12,3560.77
13,0.0002,0.0003,0.8448,0.774144
29,0.0003,0.0002,0.859136,0.83456
61,0.0005,0.0003,0.736256,1.13971
125,0.0008,0.0005,1.18272,1.22368
253,0.0008,0.0009,0.719872,0.809984
509,0.0017,0.0016,0.753664,0.893952
1021,0.0027,0.0035,0.765952,0.898048
2045,0.0098,0.0057,1.15507,1.3527
4093,0.0192,0.0114,0.861184,0.991232
8189,0.0249,0.0225,1.29434,0.879616
16381,0.0804,0.0452,1.10182,1.07315
32765,0.0828,0.108,1.82784,1.1776
65533,0.2099,0.1995,2.14835,2.46886
131069,0.3595,0.4532,2.75968,3.28806
262141,0.7065,0.8693,5.31866,7.03078
524285,1.7419,1.6716,8.23603,9.53958
