Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16777216,92.6883,137.853,11.2512,2.93069,1.23069
33554432,173.766,283.352,32.3185,5.64464,2.22515
67108864,325.101,524.986,52.0837,10.9597,3.69843
16,0.0002,0.228352,0.104448,0.239616,0.14336
32,0.0001,0.223232,0.121856,0.173056,0.13824
64,0.0001,0.23552,0.141312,0.173056,0.144384
128,0.0002,0.242688,0.1536,0.208896,0.16384
256,0.0004,0.25088,0.17408,0.1792,0.144384
512,0.0002,0.392192,0.195584,0.164864,0.14848
1024,0.0013,0.285696,0.183296,0.180224,0.16384
2048,0.0011,0.293888,0.222208,0.178176,0.125952
4096,0.0027,0.301056,0.252928,0.14848,0.126976
8192,0.0047,0.311296,0.396288,0.152576,0.11776
16384,0.0092,0.378368,0.290816,0.162816,0.135712
32768,0.0191,0.436096,0.32768,0.192512,0.185344
65536,0.0691,0.662208,0.323584,0.17488,0.139264
131072,0.6038,1.08134,0.347648,0.250688,0.491168
262144,1.2063,2.06848,0.422912,0.547392,0.412256
524288,2.4168,3.99811,0.719872,0.264512,0.613696
1048576,5.0384,8.40336,1.32042,0.409408,0.541312
2097152,9.7049,15.9717,2.24906,0.65888,0.773792
4194304,23.2013,32.6234,4.55885,0.944832,0.627712
8388608,40.0318,64.0241,7.34822,1.65888,0.83552
16777216,78.3033,130.507,15.5996,2.8496,1.26557
33554432,165.181,345.31,24.1736,5.6335,2.02944
67108864,327.403,528.416,111.278,11.1152,3.53485
16,0.0001,0.226304,0.11264,0.2048,0.149504
32,0.0001,0.26112,0.131072,0.17408,0.141312
64,0.0003,0.216064,0.13312,0.21504,0.147456
128,0.0001,0.185344,0.157696,0.147456,0.1792
256,0.0003,0.221184,0.176128,0.145408,0.155648
512,0.0003,0.237568,0.191488,0.173056,0.132096
1024,0.0005,0.24576,0.218112,0.162816,0.145408
2048,0.0009,0.292864,0.267264,0.154624,0.123904
4096,0.0017,0.292864,0.267264,0.151552,0.128
8192,0.0036,0.306176,0.351232,0.221184,0.119808
16384,0.0166,0.379232,0.281184,0.403456,0.170816
32768,0.0438,0.499136,0.303104,0.175104,0.151168
65536,0.0397,0.672768,0.323008,0.218592,0.116704
131072,0.601,1.36662,0.42496,0.205824,0.396992
262144,1.2756,3.75194,0.489472,0.258048,0.565248
524288,2.6072,3.97414,1.36499,0.264672,1.01114
1048576,4.8795,7.66259,1.13766,0.406528,0.536064
2097152,10.3231,16.6294,2.4016,0.523904,0.53248
4194304,19.7699,33.4868,3.46522,0.887648,0.565248
8388608,39.5419,64.2385,9.02861,1.54269,0.89088
16777216,77.2469,131.061,11.4248,2.86003,1.252
33554432,156.535,261.763,30.5565,5.5815,2.42342
67108864,360.905,538.415,51.9619,12.0214,3.53229
16,0.0001,0.188416,0.108544,0.196608,0.162816
32,0.0002,0.273408,0.119808,0.177152,0.181248
64,0.0002,0.22016,0.140288,0.202752,0.162816
128,0.0001,0.237568,0.155648,0.172032,0.14848
256,0.0004,0.242688,0.171008,0.15872,0.137216
512,0.0007,0.231424,0.192512,0.18432,0.21504
1024,0.0005,0.295936,0.24064,0.177152,0.188416
2048,0.001,0.270336,0.21504,0.151552,0.118784
4096,0.0044,0.297984,0.26624,0.17408,0.132096
8192,0.0228,0.273408,0.283648,0.149504,0.11264
16384,0.0095,0.369664,0.447104,0.173376,0.147424
32768,0.0195,0.491168,0.305152,0.212544,0.16384
65536,0.0871,0.677888,0.326656,0.166368,0.17856
131072,0.6011,1.07008,0.359424,0.180544,0.872448
262144,1.1777,2.09382,0.433152,0.196608,0.478816
524288,2.434,4.21965,0.815104,0.313024,0.5376
1048576,5.3093,7.96774,1.28154,0.357216,0.6656
2097152,9.9951,16.1194,2.06848,0.536576,0.554816
4194304,22.1943,33.2426,4.23424,0.848736,1.31174
8388608,41.7321,64.9196,8.46131,1.53872,0.882688
16777216,83.4175,146.677,15.2791,4.5831,1.25216
33554432,168.77,281.107,22.4236,5.6535,2.19648
67108864,308.815,543.846,66.2636,11.5476,3.45088
