Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
32765,0.0356,1.05984,1.24928,1.06496,1.0967
65533,0.0401,1.44384,1.65376,1.45818,1.52576
131069,0.7627,2.28659,2.41152,2.64909,2.94298
262141,1.2052,4.06016,4.0448,4.3561,5.63712
524285,2.6041,8.1193,8.02202,8.00666,8.32717
1048573,4.938,15.3825,14.7692,14.8142,14.4712
2097149,10.0049,28.9823,29.6602,27.1729,27.4145
4194301,18.611,56.8658,56.0814,54.8536,53.3299
8388605,38.8795,113.41,110.287,105.88,105.172
16777213,78.1883,228.959,217.829,211.13,209.461
33554429,161.037,464.778,443.009,425.643,421.006
67108861,307.197,931.89,880.937,849.469,844.531
13,0.0001,0.689152,1.08339,0.859136,1.07418
29,0.0001,0.612352,0.847872,0.847872,0.81408
61,0.0002,0.664576,0.728064,0.897024,0.71168
125,0.0002,0.623616,0.632832,0.673792,0.785408
253,0.0002,0.627712,0.663552,0.677888,0.75264
509,0.0003,0.666624,0.688128,0.83968,0.594944
1021,0.0005,0.753664,0.80896,0.91136,0.621568
2045,0.0009,0.677888,0.78848,0.722944,0.70144
4093,0.0018,1.13869,0.7936,0.689152,1.08442
8189,0.004,0.789504,0.864256,0.831488,0.734208
16381,0.0084,0.821248,1.47456,0.920576,0.959488
32765,0.0221,1.0967,1.31482,1.1305,1.32096
65533,0.0364,1.5913,1.90874,1.46022,1.88109
131069,0.6026,2.30707,2.66547,2.73306,3.18874
262141,1.2386,4.22502,4.07654,5.53677,4.60288
524285,2.3941,7.6585,7.51002,7.57658,7.86432
1048573,4.8338,15.2064,14.5121,15.3149,14.9484
2097149,10.2174,29.6069,28.0945,27.3644,27.5046
4194301,19.1884,57.2467,57.3809,52.82,53.7272
8388605,37.7018,114.149,110.112,105.709,103.917
16777213,75.9132,228.016,222.933,212.031,210.137
33554429,157.19,462.565,434.594,422.84,420.972
67108861,310.586,931.718,894.351,850.814,847.056
13,0.0001,0.55808,0.668672,0.636928,0.6912
29,0.0001,0.557056,0.756736,0.79872,1.2288
61,0.0001,0.625664,0.837632,0.861184,0.730112
