Array Size,Thrust time (s),Radix sort time (s)
1021,0.0131,6.76966
2045,0.0202,6.71539
4093,0.0424,6.54234
8189,0.1069,7.35027
16381,0.3236,6.7625
32765,0.4183,7.81414
65533,0.5858,8.704
131069,1.2163,7.55302
262141,2.4601,18.1023
524285,5.0147,24.7265
1048573,11.1252,30.6514
2097149,22.4066,49.3384
4194301,94.6518,82.8406
8388605,184.049,150.225
16777213,364.101,293.661
33554429,738.38,569.225
67108861,1465.87,1140.01
134217725,2878.69,2284.33
13,0.0026,7.00826
29,0.0045,6.28634
61,0.0048,7.38816
125,0.0053,6.34573
253,0.0221,5.71187
509,0.0127,7.66669
1021,0.012,6.63962
2045,0.0212,6.49011
4093,0.0494,6.76147
8189,0.0943,6.60582
16381,0.1607,9.16582
32765,0.2885,8.59443
65533,0.6149,7.81824
131069,1.2512,9.36448
262141,3.2525,17.9016
524285,5.7394,24.2237
1048573,10.6835,33.0404
2097149,20.5591,49.5544
4194301,95.6524,83.9137
8388605,184.599,156.498
16777213,366.585,291.375
33554429,724.731,580.844
67108861,1458.58,1135.69
134217725,2916.6,2279.52
13,0.0027,7.67795
29,0.0067,7.40147
61,0.0076,8.58419
125,0.0216,6.85261
253,0.012,4.41446
509,0.0474,7.56019
1021,0.0434,6.33139
2045,0.0281,8.02304
4093,0.042,7.00621
8189,0.1432,6.87206
16381,0.1749,7.62573
32765,0.3682,7.20794
65533,0.599,10.0342
131069,1.2362,9.00403
262141,2.7327,17.6056
524285,7.5851,21.9166
1048573,10.2546,30.1445
2097149,28.0859,51.0986
4194301,97.8906,82.4197
8388605,192.734,156.07
16777213,380.638,299.307
33554429,756.803,821.357
67108861,1458.12,1138.85
134217725,2855.55,2265.58
13,0.0027,6.86182
29,0.003,8.74387
61,0.0062,5.9607
125,0.0054,8.60262
253,0.0127,5.64429
509,0.0368,7.77626
1021,0.0125,5.90336
2045,0.0219,7.5049
4093,0.1207,5.62893
8189,0.0751,7.82234
16381,0.2628,7.0103
32765,0.3267,7.17517
65533,0.5821,7.85613
131069,1.8082,10.9937
262141,2.5596,18.5446
524285,5.0409,24.8658
1048573,14.3314,31.3088
2097149,20.9038,47.4163
4194301,89.5461,81.8422
8388605,179.873,152.084
16777213,366.227,291.313
33554429,731.015,576.191
67108861,1435.63,1140.57
134217725,2871.51,2255.86
13,0.0218,6.87514
29,0.0069,7.99232
61,0.0052,6.76147
125,0.0052,7.97286
253,0.0216,8.73779
509,0.0469,6.98778
1021,0.0279,7.98413
2045,0.0777,5.30022
4093,0.1689,6.97651
8189,0.1211,5.48147
16381,0.1521,6.90893
32765,0.2818,9.57747
65533,0.5541,8.53094
131069,1.2951,8.81254
262141,2.4834,18.7843
524285,5.0971,24.1234
1048573,10.3709,34.1873
2097149,20.9436,48.6246
4194301,96.6392,82.9778
8388605,180.917,152.775
16777213,355.629,293.393
33554429,732.672,574.026
67108861,1434.84,1141.28
134217725,2871.6,2261.74
13,0.0027,7.61754
29,0.0068,7.49466
61,0.0207,6.20134
125,0.0084,6.6048
253,0.031,6.75942
509,0.0422,5.55418
1021,0.0254,7.6841
2045,0.0225,6.1481
4093,0.0635,6.38669
8189,0.0886,5.56749
16381,0.1445,6.63552
32765,0.2813,7.12704
65533,0.5595,7.84384
131069,1.3206,10.3485
262141,2.5131,18.2436
524285,5.58,24.0456
1048573,11.1729,30.6831
2097149,20.7278,49.7572
4194301,90.7274,80.9902
8388605,180.775,150.567
16777213,361.538,292.162
33554429,727.432,576.157
67108861,1442.96,1132.66
134217725,2907.1,2250.21
13,0.0216,5.7856
29,0.0072,5.92589
61,0.0078,5.92896
125,0.0054,6.72154
253,0.0053,6.88845
509,0.0205,6.48704
1021,0.013,6.58739
2045,0.077,7.68102
4093,0.0941,6.50035
8189,0.1225,7.00006
16381,0.1515,8.34253
32765,0.2812,8.60467
65533,0.5777,7.74349
131069,1.2219,9.58566
262141,3.588,18.5211
524285,5.2667,24.5647
1048573,10.2608,31.0579
2097149,21.2878,47.4726
4194301,93.978,85.3002
8388605,183.962,151.526
16777213,359.213,294.735
33554429,723.586,576.63
67108861,1443,1135.68
134217725,2884.87,2271.37
13,0.0028,7.37382
29,0.0047,5.95866
61,0.0207,7.65952
125,0.0083,7.21818
253,0.0246,7.75885
509,0.0257,6.58022
1021,0.0321,6.13478
2045,0.0461,6.51981
4093,0.0788,5.10259
8189,0.1079,6.25562
16381,0.3092,6.8055
32765,0.3957,7.01952
65533,0.6263,8.53299
131069,1.3522,7.85306
262141,2.5719,19.754
524285,5.0175,24.1807
1048573,10.9329,32.5161
2097149,21.8028,47.4481
4194301,103.108,83.3219
8388605,182.655,152.29
16777213,364.426,291.726
33554429,726.212,578.371
67108861,1439.98,1138.6
134217725,2891.94,2254.02
13,0.0027,6.92531
29,0.0026,6.65395
61,0.0047,6.33958
125,0.0034,7.0871
253,0.0073,7.15366
509,0.0143,7.31238
1021,0.013,7.50387
2045,0.0316,7.36768
4093,0.041,8.72755
8189,0.0775,6.53107
16381,0.2579,6.73178
32765,0.3458,6.9847
65533,0.5781,8.6487
131069,1.2169,9.03373
262141,2.5465,19.372
524285,5.075,23.3697
1048573,10.0515,30.7436
2097149,20.9991,50.0931
4194301,97.5924,82.5027
8388605,190.326,147.707
16777213,362.33,294.477
33554429,723.548,573.493
67108861,1440.03,1132.36
134217725,2875.29,2267.33
13,0.0029,5.30842
29,0.0042,5.97811
61,0.0074,6.64781
125,0.0051,6.9847
253,0.0134,6.6775
509,0.0124,6.52595
1021,0.019,6.88947
2045,0.0208,7.18336
4093,0.0403,7.72506
8189,0.1054,7.44858
16381,0.3329,7.03181
32765,0.4539,7.47213
65533,0.5787,8.80333
131069,1.4989,8.9088
262141,2.6196,19.5758
524285,4.9887,23.4322
1048573,11.2416,32.3482
2097149,20.9969,50.4453
4194301,92.367,82.7156
8388605,182.097,152.416
16777213,357.056,292.218
33554429,718.006,571.186
67108861,1470.35,1132.15
134217725,2882.36,2263.42
13,0.0029,6.97651
29,0.0071,7.54176
61,0.0075,5.37293
125,0.0052,7.76499
253,0.0087,9.20166
509,0.029,6.67648
1021,0.0279,6.66419
2045,0.0408,7.63597
4093,0.1268,6.19622
