Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
64,0.0003,0.585728,0.534528,0.576512,0.533504
128,0.0002,0.478208,0.564224,0.661504,0.59904
256,0.0003,0.489472,0.651264,0.64512,0.602112
512,0.0006,0.52736,0.569344,0.570368,0.595968
1024,0.0004,0.551936,0.618496,0.722944,0.550912
2048,0.0011,0.545792,0.6912,0.703488,0.656384
4096,0.002,0.59392,0.733184,0.646144,0.65024
8192,0.0038,0.646144,0.84992,0.760832,0.64512
16384,0.0089,0.786432,1.01786,0.785408,0.74752
32768,0.0642,1.00147,1.16429,0.974848,1.01888
65536,0.0365,1.37114,1.6384,1.42746,1.49299
131072,0.5996,2.73408,2.4657,2.49856,3.26246
262144,1.4698,4.1472,4.08166,4.27315,4.74624
524288,2.353,7.7271,7.75578,7.95034,8.67738
1048576,4.4385,15.1204,15.1214,14.294,14.4579
2097152,9.2296,29.0652,29.5557,26.9578,27.5456
4194304,18.1051,57.6225,57.2426,53.5747,53.1855
8388608,39.2887,115.717,110.343,106.642,105.526
16777216,76.2492,230.266,224.939,210.626,211.441
33554432,145.501,465.664,437.006,425.702,422.427
67108864,293.566,941.268,905.755,849.464,841.464
16,0.0001,0.456704,0.4864,1.30253,0.509952
32,0.0002,0.820224,0.494592,0.540672,0.524288
64,0.0002,0.45568,0.528384,0.51712,0.489472
128,0.0004,0.509952,0.576512,1.11821,0.5888
256,0.0003,0.835584,0.60928,0.565248,0.717824
512,0.0003,0.539648,0.67584,0.64512,0.538624
1024,0.001,0.543744,0.70144,0.945152,0.60928
2048,0.0009,0.569344,0.740352,0.628736,0.633856
4096,0.0021,1.15712,0.791552,0.647168,0.60416
8192,0.0046,0.608256,0.80896,0.690176,0.64512
16384,0.008,0.780288,0.940032,0.796672,0.738304
32768,0.0187,0.992256,1.15405,1.03526,1.38752
65536,0.0372,1.47046,1.65274,1.44282,1.44691
131072,0.5993,2.16986,2.3808,2.8672,2.92864
262144,1.1689,4.60186,3.99258,4.68582,4.72883
524288,2.7603,8.01075,7.44448,7.48954,8.0169
1048576,4.4383,16.1157,14.3309,14.0636,14.9217
2097152,8.9986,29.9428,29.057,26.7643,28.9567
4194304,18.118,57.685,57.8683,54.4942,54.144
8388608,37.4561,113.651,110.85,106.674,106.749
16777216,80.23,230.844,220.259,213.922,211.358
33554432,150.026,467.326,448.814,425.36,422.111
67108864,291.399,943.157,889.918,852.755,843.144
16,0.0001,0.493568,0.46592,0.540672,0.607232
32,0.0002,0.498688,0.492544,0.574464,0.591872
64,0.0002,0.499712,0.579584,0.571392,0.61952
128,0.0002,0.548864,0.581632,0.577536,0.534528
256,0.0005,0.530432,0.59904,0.621568,0.584704
512,0.0007,0.774144,0.72192,0.595968,0.535552
1024,0.0004,0.5376,0.648192,0.601088,1.2032
2048,0.001,0.651264,0.68608,0.622592,0.617472
4096,0.0022,1.09363,0.730112,0.644096,0.652288
8192,0.0037,0.62464,0.81408,0.68608,0.64
16384,0.0078,0.770048,0.9728,0.800768,0.755712
32768,0.0199,0.966656,1.17965,1.04448,1.00762
65536,0.0383,1.37011,2.03366,1.52678,1.33222
131072,0.5856,2.2231,2.45658,2.52723,2.97984
262144,1.1678,4.23117,3.92909,4.38682,5.22342
524288,2.4077,7.76806,7.5049,7.97389,8.65382
1048576,4.7058,15.3999,15.3846,14.6248,14.4507
2097152,9.4731,30.4108,28.2061,27.903,27.095
4194304,20.2805,59.477,57.0163,53.3064,54.017
8388608,36.9878,114.986,110.588,105.964,104.894
16777216,76.7461,230.269,223.134,209.862,210.713
33554432,143.342,465.048,438.201,425.396,420.173
67108864,296.679,940.78,902.959,852.37,844.612
16,0.0001,0.626688,0.748544,0.631808,0.577536
32,0.0002,0.459776,0.54784,0.63488,0.549888
64,0.0002,0.60928,0.57344,0.649216,0.606208
128,0.0002,0.50176,0.582656,0.569344,0.591872
256,0.0004,0.466944,0.73728,0.635904,0.538624
512,0.0007,0.497664,0.608256,0.57856,1.25133
1024,0.0004,0.52736,1.07213,0.652288,0.62976
2048,0.001,0.54784,0.694272,0.622592,0.56832
4096,0.0021,0.567296,0.718848,0.707584,0.69632
8192,0.0034,0.748544,0.805888,0.750592,1.03629
16384,0.008,0.738304,1.01888,0.851968,0.812032
32768,0.0177,0.991232,1.25747,1.03424,1.00352
65536,0.0364,1.33939,1.64454,1.43053,1.65478
131072,0.5996,2.1248,2.39309,2.5303,3.64032
262144,1.9451,4.0704,3.92909,4.80563,4.71962
524288,2.4701,7.94931,7.52845,7.60115,7.92474
1048576,4.6823,15.445,14.7763,14.9412,14.2449
2097152,10.7964,29.2106,28.884,27.006,27.4883
4194304,19.4816,58.5032,56.3743,53.8911,53.7856
8388608,42.4102,115.372,110.107,106.384,104.702
16777216,80.3387,231.34,219.933,212.007,211.697
33554432,147.967,467.243,446.595,422.46,419.766
67108864,294.756,936.618,884.75,852.044,844.504
16,0.0001,0.530432,0.766976,0.528384,0.530432
32,0.0001,0.528384,0.567296,0.649216,0.613376
64,0.0002,0.530432,1.17555,0.871424,0.88576
128,0.0002,0.47616,0.5888,0.621568,0.551936
256,0.0004,0.487424,0.591872,0.591872,0.618496
512,0.0005,0.530432,0.628736,0.570368,0.55296
1024,0.0005,0.52224,0.700416,0.659456,0.602112
2048,0.0011,0.564192,0.736256,0.776192,0.67584
4096,0.0022,0.608256,0.797696,0.709632,1.05574
8192,0.0035,0.6144,0.800768,0.6912,0.6912
16384,0.009,0.776192,0.944128,0.986112,0.743424
32768,0.32,0.98304,1.22163,1.03629,0.963584
65536,0.0376,1.39674,1.92614,1.4551,1.39264
131072,0.586,2.23027,2.44429,2.69312,2.94195
262144,1.2027,4.21478,4.02637,4.49946,5.0688
524288,2.3423,7.70355,8.17562,7.50694,8.00768
1048576,4.4363,15.2525,15.1173,14.1302,15.5525
2097152,10.2931,29.481,28.3935,26.7377,28.7877
4194304,19.4157,57.9584,57.0726,53.8358,54.1123
8388608,36.7958,114.558,111.408,106.511,105.892
16777216,73.5186,230.139,223.792,212.163,211.115
33554432,147.671,468.652,440.414,424.622,422.027
67108864,302.375,938.951,905.057,849.113,847.274
16,0,0.477184,0.505856,0.549888,0.525312
32,0.0001,0.47104,0.600064,0.62976,0.606208
64,0.0001,0.869376,0.613376,0.637952,0.899072
128,0.0002,0.704512,0.56832,0.577536,0.5376
256,0.0005,0.560128,0.714752,0.859136,0.608256
512,0.0007,0.50176,0.632832,0.652288,0.610304
1024,0.0005,0.989184,0.6656,0.579584,1.15405
2048,0.0009,0.661504,0.718848,0.684032,0.633856
4096,0.0025,1.49914,1.29331,0.707584,0.646144
8192,0.0033,0.743424,0.856064,0.76288,0.724992
16384,0.0083,1.12333,1.00045,1.07725,1.03014
32768,0.028,1.06598,1.16736,1.04243,1.0025
65536,0.0366,2.23232,1.64147,1.43258,1.40698
131072,0.5846,2.25382,2.44122,2.72384,2.98189
262144,1.1736,4.06938,4.03456,4.3817,5.55725
524288,2.3398,8.09984,8.13978,8.16435,7.59603
1048576,4.6849,14.4108,14.2756,13.7359,16.5448
2097152,9.3726,29.1133,29.1,27.2364,27.8446
4194304,18.0549,57.8038,57.9758,53.2879,53.801
8388608,42.3555,114.817,110.966,105.502,106.067
16777216,78.4507,230.921,219.126,213.111,212.079
33554432,146.89,465.727,445.118,424.372,420.29
67108864,290.541,938.719,887.232,850.145,846.505
16,0.0001,0.518144,0.688128,0.772096,0.753664
32,0.0001,0.513024,0.820224,0.724992,0.720896
64,0.0003,0.463872,0.790528,0.818176,0.791552
128,0.0004,0.48128,0.792576,1.05574,0.714752
256,0.0002,0.59392,0.606208,0.600064,0.560128
512,0.0005,0.50176,0.651264,0.580608,0.546816
1024,0.001,0.58368,0.685056,0.596992,0.551936
2048,0.001,0.545792,0.698368,1.09568,0.586752
4096,0.0022,0.569344,0.782336,0.69632,0.68096
8192,0.0038,0.649216,0.899072,0.697344,0.659456
16384,0.0082,0.745472,0.930816,0.872448,0.806912
32768,0.0434,0.973824,1.22982,1.04038,1.024
65536,0.0394,1.37114,1.63738,1.38957,1.33734
131072,0.7429,2.18726,2.45453,2.52928,2.93683
262144,1.2216,4.21376,3.97824,4.44211,4.9193
524288,2.5869,7.62675,7.72506,8.00666,8.23398
1048576,4.7946,14.5735,15.1634,14.3933,14.5449
2097152,9.0147,29.1236,28.7416,27.1821,27.4913
4194304,18.3886,58.5585,56.5402,53.8911,53.2009
8388608,39.1411,115.548,111.08,106.14,106.698
16777216,74.7091,230.774,224.574,211.371,208.768
33554432,145.865,463.902,435.304,426.568,421.284
67108864,293.248,940.152,903.378,851.804,839.242
16,0,1.9927,0.712672,0.94208,0.531456
32,0.0001,0.45056,0.544768,0.638976,0.881664
64,0.0002,0.464896,0.564224,0.569344,0.848896
128,0.0002,0.5632,0.74752,0.62464,0.548864
256,0.0003,0.529408,0.59392,0.649216,0.607232
512,0.0003,0.499712,0.60416,0.857088,0.81408
1024,0.0005,0.526336,0.642048,0.584704,0.698368
2048,0.0009,0.723968,0.754688,0.616448,0.571392
4096,0.0021,0.579584,0.709632,1.14176,0.651264
8192,0.0034,0.736256,0.796672,0.676864,0.9472
16384,0.009,0.800768,0.991232,0.836608,0.807936
32768,0.0195,0.950272,1.16326,1.06496,1.0199
65536,0.0388,1.38957,1.89645,1.37523,1.3271
131072,0.6028,2.2569,2.4023,2.82931,2.94298
262144,1.1736,4.48307,3.99155,4.86093,4.84147
524288,2.3398,8.08448,7.51104,7.7609,8.19302
1048576,4.7958,15.3539,14.4282,15.0938,15.1316
2097152,8.9272,29.6643,28.8573,27.4217,28.8778
4194304,20.8182,57.4474,55.8459,54.1542,53.9402
8388608,36.3988,114.161,109.743,105.731,106.385
16777216,75.6793,231.057,221.208,208.822,212.101
33554432,144.483,464.186,445.898,426.759,421.466
67108864,293.098,937.216,884.581,850.114,846.651
16,0.0001,0.492544,0.516096,0.567296,0.515072
32,0.0003,0.509952,0.545792,0.580608,0.598016
64,0.0003,0.461824,0.566272,1.27488,0.600064
128,0.0004,0.505856,0.572416,0.571392,0.592896
256,0.0003,0.508928,0.649216,0.630784,0.707584
512,0.0006,1.44589,0.693248,0.654336,0.67584
1024,0.0004,0.55296,0.704512,0.64512,0.541696
2048,0.0023,0.541696,0.698368,0.610304,0.9216
4096,0.0021,0.651264,0.649216,0.636928,0.620544
8192,0.0034,0.622592,0.80384,0.697344,0.688128
16384,0.0082,0.745472,1.60666,0.871424,0.812032
32768,0.0247,1.02912,1.2841,1.03834,1.00045
65536,0.0358,2.00294,2.0265,1.42746,1.40083
131072,0.6001,2.26202,2.61837,2.38899,2.81702
262144,1.2412,4.14717,4.01613,4.57216,5.87162
524288,2.3419,7.85613,7.60627,7.53459,8.13466
1048576,4.4364,16.297,15.3364,14.2193,14.9811
2097152,9.4433,29.7728,27.9235,27.5354,27.6449
4194304,18.0027,57.5099,57.1054,54.443,54.4389
8388608,40.0993,114.75,111.107,106.947,105.094
16777216,74.8599,231.304,224.843,211.361,210.31
33554432,154.498,464.327,436.568,423.343,422.61
67108864,290.222,937.515,902.91,853.775,843.302
16,0,0.472064,0.490496,0.546816,0.514048
32,0.0002,0.499712,0.520192,0.543744,0.605184
64,0.0003,0.756736,0.603136,0.617472,0.587776
128,0.0002,0.498688,0.577536,0.816128,0.745472
256,0.0003,0.744448,0.687104,0.908288,0.54784
512,0.0007,0.533504,0.607232,0.56832,0.523264
1024,0.0005,0.90624,0.695296,0.651264,0.90624
2048,0.0162,0.57856,0.723968,0.612352,0.575488
4096,0.0023,0.57856,0.724992,0.65024,0.643072
8192,0.0038,0.663552,0.78336,0.689152,0.744448
16384,0.0079,0.718848,1.10387,0.83456,0.817152
32768,0.0256,0.992256,1.14688,0.978944,1.01478
65536,0.0411,1.37114,1.63942,1.4336,1.41312
131072,0.585,2.13094,2.41152,2.51597,2.93274
262144,1.2172,4.3008,4.02739,4.33459,5.23366
524288,2.3418,8.52685,7.85818,8.02611,8.50739
1048576,4.7202,15.3426,14.7948,14.5695,14.7046
2097152,9.5472,29.5199,29.2239,27.2732,28.3628
4194304,19.5396,57.7935,57.9277,53.9576,53.7876
8388608,39.8298,115.233,114.873,107.086,105.547
16777216,74.9795,231.21,220.13,213.707,211.706
33554432,148.93,467.787,447.305,424.842,422.478
67108864,292.637,937.76,886.61,850.411,848.844
16,0.0001,0.475136,0.76288,0.758784,0.927744
32,0.0001,0.553984,0.750592,0.769024,0.75776
64,0.0003,0.52224,0.775168,0.73728,0.74752
128,0.0003,0.590848,0.838656,0.72192,0.690176
256,0.0003,0.484352,0.823296,0.703488,0.764928
512,0.0005,0.561152,0.779264,0.75776,0.719872
1024,0.0008,0.528384,0.809984,0.908288,0.77312
2048,0.0024,0.637952,0.846848,0.770048,0.6656
4096,0.0169,1.59539,0.814048,0.734208,0.864256
8192,0.0034,0.616448,0.928768,0.82944,0.850944
16384,0.0079,0.751616,1.11411,0.97792,0.898048
32768,0.0256,0.9472,1.3312,1.11206,1.29024
65536,0.0398,1.58618,1.66195,1.45613,1.47558
131072,0.5993,2.18726,2.43814,2.88256,2.79654
262144,1.1693,4.22195,3.96902,4.34074,4.97152
524288,2.3397,8.03123,7.66259,7.69946,8.27699
1048576,4.965,14.8429,14.6432,14.0974,15.5761
2097152,9.4571,30.0134,28.3535,27.3818,27.1462
4194304,22.4838,58.0516,57.2334,53.4518,53.7672
8388608,36.0812,114.573,111.346,105.587,106.338
16777216,77.3565,230.672,223.647,210.394,209.886
